Segment,Number of Speakers,Number of Speeches,Number of Speeches per Speaker
EN2001a_0000_0010,2,3,"[2, 1, 0, 0, 0]"
EN2001a_0010_0020,3,12,"[6, 4, 2, 0, 0]"
EN2001a_0020_0030,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0030_0040,2,4,"[2, 2, 0, 0, 0]"
EN2001a_0040_0050,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0050_0060,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0060_0070,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0070_0080,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0080_0090,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0090_0100,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0100_0110,2,3,"[2, 1, 0, 0, 0]"
EN2001a_0110_0120,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0120_0130,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0130_0140,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0140_0150,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0150_0160,2,8,"[4, 4, 0, 0, 0]"
EN2001a_0160_0170,3,3,"[1, 1, 1, 0, 0]"
EN2001a_0170_0180,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0180_0190,2,5,"[3, 2, 0, 0, 0]"
EN2001a_0190_0200,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0210_0220,2,3,"[2, 1, 0, 0, 0]"
EN2001a_0220_0230,3,4,"[2, 1, 1, 0, 0]"
EN2001a_0230_0240,2,4,"[2, 2, 0, 0, 0]"
EN2001a_0240_0250,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0250_0260,2,3,"[2, 1, 0, 0, 0]"
EN2001a_0260_0270,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0270_0280,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0280_0290,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0290_0300,2,3,"[2, 1, 0, 0, 0]"
EN2001a_0300_0310,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0310_0320,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0320_0330,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0330_0340,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0340_0350,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0350_0360,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0360_0370,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0370_0380,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0380_0390,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0390_0400,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0400_0410,2,3,"[2, 1, 0, 0, 0]"
EN2001a_0410_0420,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0420_0430,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0430_0440,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0440_0450,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0450_0460,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0460_0470,2,3,"[2, 1, 0, 0, 0]"
EN2001a_0470_0480,2,1,"[1, 0, 0, 0, 0]"
EN2001a_0480_0490,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0490_0500,3,10,"[5, 4, 1, 0, 0]"
EN2001a_0500_0510,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0510_0520,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0520_0530,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0530_0540,2,3,"[2, 1, 0, 0, 0]"
EN2001a_0540_0550,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0550_0560,2,8,"[4, 4, 0, 0, 0]"
EN2001a_0560_0570,3,10,"[4, 3, 3, 0, 0]"
EN2001a_0570_0580,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0580_0590,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0590_0600,2,5,"[3, 2, 0, 0, 0]"
EN2001a_0600_0610,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0610_0620,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0620_0630,2,8,"[4, 4, 0, 0, 0]"
EN2001a_0630_0640,3,4,"[2, 2, 0, 0, 0]"
EN2001a_0640_0650,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0650_0660,2,4,"[2, 2, 0, 0, 0]"
EN2001a_0660_0670,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0670_0680,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0680_0690,2,7,"[4, 3, 0, 0, 0]"
EN2001a_0690_0700,3,9,"[4, 4, 1, 0, 0]"
EN2001a_0700_0710,2,10,"[5, 5, 0, 0, 0]"
EN2001a_0710_0720,3,22,"[11, 8, 3, 0, 0]"
EN2001a_0720_0730,2,3,"[2, 1, 0, 0, 0]"
EN2001a_0730_0740,2,10,"[5, 5, 0, 0, 0]"
EN2001a_0740_0750,3,5,"[2, 2, 1, 0, 0]"
EN2001a_0750_0760,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0760_0770,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0770_0780,2,3,"[2, 1, 0, 0, 0]"
EN2001a_0780_0790,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0790_0800,2,8,"[4, 4, 0, 0, 0]"
EN2001a_0800_0810,2,2,"[1, 1, 0, 0, 0]"
EN2001a_0810_0820,2,7,"[4, 3, 0, 0, 0]"
EN2001a_0820_0830,2,3,"[2, 1, 0, 0, 0]"
EN2001a_0830_0840,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0840_0850,1,1,"[1, 0, 0, 0, 0]"
EN2001a_0850_0860,3,5,"[2, 2, 1, 0, 0]"
EN2001a_0860_0870,2,5,"[3, 2, 0, 0, 0]"
EN2001a_0870_0880,3,8,"[4, 3, 1, 0, 0]"
EN2001a_0880_0890,2,1,"[1, 0, 0, 0, 0]"
EN2001a_0890_0900,3,4,"[2, 1, 1, 0, 0]"
EN2001a_0900_0910,2,9,"[5, 4, 0, 0, 0]"
